username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BaliMojoGuy;2012-11-11 18:59;0;0;"Oh my god Hurricane Sandy has arrived. http://www. balimojopills.com #sandy #hurricanesandy";;;#sandy #hurricanesandy;"267778646507413504";https://twitter.com/BaliMojoGuy/status/267778646507413504
DorseyMc;2012-11-11 18:55;0;0;"Loved #nbc #NightlyNews piece on the pets effected by #HurricaneSandy . So sad so many have been displaced but terrific to see reunions!";;;#nbc #NightlyNews #HurricaneSandy;"267777567057129472";https://twitter.com/DorseyMc/status/267777567057129472
mistergoodlife;2012-11-11 18:50;0;0;"Stay strong Staten Island! #hurricanesandy #rebuild #support #statenisland #nyc @Staten Island, NY http:// instagr.am/p/R6H8I_tA8Z/";;@Staten;#hurricanesandy #rebuild #support #statenisland #nyc;"267776421190070272";https://twitter.com/mistergoodlife/status/267776421190070272
kaitlynrosateli;2012-11-11 18:50;0;0;"@Real_Liam_Payne I live in Staten Island,NYC and we were severely affected by hurricanesandy & it would be amazing if you could help us! xxx";;@Real_Liam_Payne;;"267776380371103745";https://twitter.com/kaitlynrosateli/status/267776380371103745
kaitlynrosateli;2012-11-11 18:50;0;0;"@Real_Liam_Payne I live in Staten Island,NYC and we were severely affected by hurricanesandy & it would be amazing if you could help us! xx";;@Real_Liam_Payne;;"267776347139612672";https://twitter.com/kaitlynrosateli/status/267776347139612672
kaitlynrosateli;2012-11-11 18:50;0;0;"@Real_Liam_Payne I live in Staten Island,NYC and we were severely affected by hurricanesandy & it would be amazing if you could help us!xox";;@Real_Liam_Payne;;"267776285097488384";https://twitter.com/kaitlynrosateli/status/267776285097488384
kaitlynrosateli;2012-11-11 18:50;0;0;"@Real_Liam_Payne I live in Staten Island,NYC and we were severely affected by hurricanesandy & it would be amazing if you could help us! xxo";;@Real_Liam_Payne;;"267776236535836672";https://twitter.com/kaitlynrosateli/status/267776236535836672
SandCatz;2012-11-11 18:50;0;0;"I am no longer #HurricaneSandy . Someone else can be the next natural disaster. http:// yfrog.com/esb4dwlj";;;#HurricaneSandy;"267776221415346176";https://twitter.com/SandCatz/status/267776221415346176
kaitlynrosateli;2012-11-11 18:49;0;0;"@Real_Liam_Payne I live in Staten Island,NYC and we were severely affected by hurricanesandy & it would be amazing if you could help us!xx(:";;@Real_Liam_Payne;;"267776208874401793";https://twitter.com/kaitlynrosateli/status/267776208874401793
kaitlynrosateli;2012-11-11 18:49;0;0;"@Real_Liam_Payne I live in Staten Island,NYC and we were severely affected by hurricanesandy & it would be amazing if you could help us! .x";;@Real_Liam_Payne;;"267776132600967168";https://twitter.com/kaitlynrosateli/status/267776132600967168
kaitlynrosateli;2012-11-11 18:49;0;0;"@Real_Liam_Payne I live in Staten Island,NYC and we were severely affected by hurricanesandy & it would be amazing if you could help us! x.";;@Real_Liam_Payne;;"267776101324038144";https://twitter.com/kaitlynrosateli/status/267776101324038144
kaitlynrosateli;2012-11-11 18:49;0;0;"@Real_Liam_Payne I live in Staten Island,NYC and we were severely affected by hurricanesandy & it would be amazing if you could help us! x";;@Real_Liam_Payne;;"267776073620680705";https://twitter.com/kaitlynrosateli/status/267776073620680705
JessRunsHappy;2012-11-11 18:49;0;0;"Over a hundred miles run on this path; all gone now #sandy #halfmarathontraining #running #hurricanesandy #j http:// instagr.am/p/R6IHfVpiHd/";;;#sandy #halfmarathontraining #running #hurricanesandy #j;"267776052384903169";https://twitter.com/JessRunsHappy/status/267776052384903169
kaitlynrosateli;2012-11-11 18:49;0;0;"@Real_Liam_Payne I live in Staten Island,NYC and we were severely affected by hurricanesandy & it would be amazing if you could help us! xo";;@Real_Liam_Payne;;"267776048157052928";https://twitter.com/kaitlynrosateli/status/267776048157052928
kaitlynrosateli;2012-11-11 18:49;0;0;"@Real_Liam_Payne I live in Staten Island,NYC and we were severely affected by hurricanesandy & it would be amazing if you could help us! oxo";;@Real_Liam_Payne;;"267775983522824192";https://twitter.com/kaitlynrosateli/status/267775983522824192
kaitlynrosateli;2012-11-11 18:48;0;0;"@Real_Liam_Payne I live in Staten Island,NYC and we were severely affected by hurricanesandy & it would be amazing if you could help us! xox";;@Real_Liam_Payne;;"267775927168151553";https://twitter.com/kaitlynrosateli/status/267775927168151553
kaitlynrosateli;2012-11-11 18:48;0;0;"@Real_Liam_Payne I live in Staten Island,NYC and we were severely affected by hurricanesandy & it would be amazing if you could help us!xoxo";;@Real_Liam_Payne;;"267775896381960193";https://twitter.com/kaitlynrosateli/status/267775896381960193
